IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
170183324,LARCENY/THEFT,GRAND THEFT SHOPLIFTING,Saturday,03/04/2017,19:55,SOUTHERN,NONE,800 Block of MARKET ST,-122.4076335207421,37.78418935014246,"(37.78418935014246, -122.4076335207421)",17018332406364
170591272,FRAUD,DEFRAUDING AN INNKEEPER,Thursday,07/20/2017,14:30,NORTHERN,"ARREST, BOOKED",500 Block of HAYES ST,-122.42539432272238,37.77651956216785,"(37.77651956216786, -122.42539432272238)",17059127227010
176131717,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,05/22/2017,18:30,SOUTHERN,NONE,BRANNAN ST / 8TH ST,-122.40542716278259,37.771296987627686,"(37.77129698762769, -122.4054271627826)",17613171706244
170486413,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,06/14/2017,22:10,INGLESIDE,NONE,4500 Block of MISSION ST,-122.43415571135294,37.72542585065359,"(37.72542585065359, -122.43415571135294)",17048641304013
170173165,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,02/28/2017,15:30,MISSION,NONE,BROSNAN ST / GUERRERO ST,-122.42447375795582,37.768625224181385,"(37.76862522418138, -122.42447375795582)",17017316506243
170913632,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,11/09/2017,01:20,NORTHERN,NONE,GOUGH ST / BUSH ST,-122.42523725424513,37.788069174642686,"(37.78806917464269, -122.42523725424513)",17091363228150
170838438,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Friday,10/13/2017,19:30,CENTRAL,NONE,300 Block of POWELL ST,-122.4083842755422,37.78782711372249,"(37.78782711372249, -122.40838427554218)",17083843864085
170851844,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Tuesday,10/17/2017,21:00,BAYVIEW,NONE,1800 Block of ILLINOIS ST,-122.38644643520651,37.748538469234866,"(37.74853846923487, -122.38644643520651)",17085184405071
170659886,WEAPON LAWS,POSS OF FIREARM BY CONVICTED FELON/ADDICT/ALIEN,Sunday,08/13/2017,18:20,SOUTHERN,"ARREST, BOOKED",1000 Block of MARKET ST,-122.41107142306448,37.7817511307229,"(37.7817511307229, -122.41107142306448)",17065988612080
170672769,BURGLARY,"BURGLARY, FORCIBLE ENTRY",Friday,08/18/2017,11:01,SOUTHERN,NONE,600 Block of 2ND ST,-122.39123835272026,37.781253273636935,"(37.781253273636935, -122.39123835272026)",17067276905071
170246778,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Sunday,03/26/2017,04:30,NORTHERN,NONE,2200 Block of BUSH ST,-122.43428763833045,37.78685936259165,"(37.78685936259165, -122.43428763833043)",17024677828100
170653264,NON-CRIMINAL,FOUND PROPERTY,Friday,08/11/2017,10:29,NORTHERN,NONE,2100 Block of CHESTNUT ST,-122.43870134823221,37.80044988597612,"(37.80044988597612, -122.43870134823221)",17065326472000
170064796,NON-CRIMINAL,FOUND PROPERTY,Tuesday,01/24/2017,08:54,SOUTHERN,NONE,900 Block of HOWARD ST,-122.40650848700324,37.78033132090649,"(37.78033132090649, -122.40650848700325)",17006479672000
170336777,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Sunday,04/23/2017,17:00,INGLESIDE,NONE,0 Block of MIRALOMA DR,-122.46127656933086,37.739041695719145,"(37.739041695719145, -122.46127656933086)",17033677764070
170420643,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Monday,05/22/2017,18:15,INGLESIDE,"ARREST, BOOKED",0 Block of PHELAN AV,-122.45228966049213,37.72569335757029,"(37.725693357570286, -122.45228966049211)",17042064365010
176216096,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Friday,08/18/2017,00:01,TARAVAL,NONE,100 Block of DARIEN WY,-122.47005525499912,37.731947463566215,"(37.731947463566215, -122.47005525499912)",17621609606224
170362186,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,05/03/2017,08:54,MISSION,"ARREST, BOOKED",400 Block of CASTRO ST,-122.43515009981228,37.76175972435981,"(37.761759724359806, -122.43515009981229)",17036218662050
170522108,SUSPICIOUS OCC,SUSPICIOUS ACT TOWARDS FEMALE,Friday,06/23/2017,03:00,SOUTHERN,NONE,1000 Block of HOWARD ST,-122.4085207918145,37.778585315580074,"(37.77858531558008, -122.4085207918145)",17052210864060
170759583,VEHICLE THEFT,STOLEN AUTOMOBILE,Friday,09/15/2017,19:30,CENTRAL,NONE,PACIFIC AV / KEARNY ST,-122.40532055201187,37.797089381554855,"(37.79708938155485, -122.40532055201189)",17075958307021
170316876,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,04/18/2017,09:00,TARAVAL,NONE,1200 Block of 23RD AV,-122.48154273502136,37.76429519366397,"(37.76429519366397, -122.48154273502134)",17031687604014
170329578,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Saturday,04/22/2017,07:30,CENTRAL,NONE,3200 Block of VANNESS AV,-122.42522105796743,37.8055600294296,"(37.8055600294296, -122.42522105796746)",17032957828160
170359939,NON-CRIMINAL,TARASOFF REPORT,Tuesday,05/02/2017,14:30,MISSION,NONE,1000 Block of POTRERO AV,-122.40653911514816,37.75648641093089,"(37.75648641093089, -122.40653911514814)",17035993915095
170718062,RUNAWAY,RUNAWAY,Sunday,09/03/2017,02:00,TARAVAL,NONE,400 Block of CAPITOL AV,-122.4589717228797,37.71449055704744,"(37.71449055704744, -122.45897172287967)",17071806229100
170904619,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,11/05/2017,19:30,TARAVAL,NONE,1500 Block of GREAT HY,-122.50893600210851,37.75746983673157,"(37.75746983673157, -122.50893600210853)",17090461964020
176221443,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Saturday,08/26/2017,13:40,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.4107742143754,37.80843501758691,"(37.80843501758691, -122.4107742143754)",17622144306374
170436593,LARCENY/THEFT,GRAND THEFT FROM PERSON,Sunday,05/28/2017,00:01,NORTHERN,NONE,ELLIS ST / POLK ST,-122.41936629479694,37.78402804520321,"(37.7840280452032, -122.41936629479697)",17043659306153
170006663,ASSAULT,BATTERY,Tuesday,01/03/2017,14:00,SOUTHERN,NONE,6TH ST / HARRISON ST,-122.40407161140638,37.77727418543535,"(37.77727418543535, -122.40407161140638)",17000666304134
180046869,OTHER OFFENSES,HARASSING PHONE CALLS,Saturday,04/01/2017,00:01,CENTRAL,NONE,2200 Block of LEAVENWORTH ST,-122.41785476520916,37.80196978591812,"(37.80196978591812, -122.41785476520917)",18004686928135
170281774,WARRANTS,WARRANT ARREST,Thursday,04/06/2017,10:15,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4065209871443,37.785062942166064,"(37.785062942166064, -122.4065209871443)",17028177463010
170008023,MISSING PERSON,MISSING ADULT,Tuesday,01/03/2017,11:00,PARK,NONE,1400 Block of GROVE ST,-122.44048310699827,37.77555290168326,"(37.77555290168326, -122.44048310699829)",17000802374000
170289295,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,04/08/2017,17:30,SOUTHERN,NONE,1100 Block of FOLSOM ST,-122.4092822666234,37.77568588327912,"(37.775685883279124, -122.4092822666234)",17028929506153
170625627,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Tuesday,08/01/2017,18:05,CENTRAL,"ARREST, BOOKED",NORTHPOINT ST / THE EMBARCADERONORTH ST,-122.40727866079284,37.80741901490018,"(37.80741901490017, -122.40727866079283)",17062562705014
170068732,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,01/24/2017,22:00,INGLESIDE,NONE,600 Block of TERESITA BL,-122.44584029752859,37.73645916498585,"(37.73645916498584, -122.4458402975286)",17006873206372
170514597,LARCENY/THEFT,"LOST PROPERTY, PETTY THEFT",Saturday,06/24/2017,14:48,INGLESIDE,NONE,900 Block of ELLSWORTH ST,-122.41651742740521,37.733010386741576,"(37.73301038674158, -122.4165174274052)",17051459727090
176278870,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,10/22/2017,12:00,BAYVIEW,NONE,1300 Block of MARIPOSA ST,-122.39714299285886,37.76387649177262,"(37.76387649177262, -122.39714299285889)",17627887028150
170839947,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Saturday,10/14/2017,10:59,INGLESIDE,"ARREST, BOOKED",MISSION ST / RANDALL ST,-122.42358068715048,37.739884956595716,"(37.73988495659572, -122.42358068715049)",17083994765010
170722104,SECONDARY CODES,JUVENILE INVOLVED,Monday,09/04/2017,13:00,RICHMOND,NONE,700 Block of 33RD AV,-122.49290308798949,37.77496296475653,"(37.774962964756526, -122.49290308798948)",17072210415500
170517836,NON-CRIMINAL,LOST PROPERTY,Sunday,06/25/2017,00:01,PARK,NONE,MARKET ST / CASTRO ST,-122.43518769934856,37.76267027708722,"(37.76267027708723, -122.43518769934855)",17051783671000
176311345,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,11/29/2017,07:00,MISSION,NONE,1300 Block of VALENCIA ST,-122.42051542439823,37.751293704984775,"(37.751293704984775, -122.42051542439825)",17631134528150
170133523,OTHER OFFENSES,"PROBATION VIOLATION, DV RELATED",Thursday,02/16/2017,07:39,NORTHERN,"ARREST, BOOKED",1200 Block of EDDY ST,-122.42822330317604,37.781895948860324,"(37.78189594886033, -122.42822330317604)",17013352315152
170077288,DRUG/NARCOTIC,POSSESSION OF HEROIN,Saturday,01/28/2017,12:26,NORTHERN,"ARREST, BOOKED",300 Block of MCALLISTER ST,-122.4177779326192,37.780308989340256,"(37.78030898934026, -122.4177779326192)",17007728816100
170280798,WARRANTS,WARRANT ARREST,Thursday,04/06/2017,04:32,INGLESIDE,"ARREST, BOOKED",500 Block of FRANCONIA ST,-122.40815316595206,37.74177596042888,"(37.74177596042888, -122.40815316595204)",17028079863010
170168031,TRESPASS,TRESPASSING,Tuesday,02/28/2017,07:40,MISSION,"ARREST, BOOKED",2300 Block of MARKET ST,-122.4342290039533,37.763485013784596,"(37.7634850137846, -122.4342290039533)",17016803127195
170848841,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,10/17/2017,09:52,NORTHERN,"ARREST, BOOKED",600 Block of EDDY ST,-122.41838200860715,37.78325837709494,"(37.78325837709494, -122.41838200860717)",17084884116625
180068409,FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,11/28/2017,12:00,TARAVAL,NONE,1400 Block of 38TH AV,-122.49721723160832,37.75985395799978,"(37.75985395799978, -122.49721723160832)",18006840909320
170085764,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,01/31/2017,10:14,SOUTHERN,NONE,600 Block of MARKET ST,-122.40255295786528,37.78847491468028,"(37.78847491468028, -122.40255295786527)",17008576464085
170238242,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,03/22/2017,17:55,RICHMOND,NONE,JOHNFKENNEDY DR / GREAT HY,-122.51092587341648,37.7704317243551,"(37.7704317243551, -122.51092587341648)",17023824209320
